Name,Price,Url,Img
AMD Ryzen 5 2400G Desktop Processor with Radeon RX Vega 11 Graphics,"14,000৳",https://www.startech.com.bd/amd-ryzen-5-2400g-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/2400g/ryzen-5-2400g-228x228.jpg
Intel 8th Generation Core i3-8100 Processor,"11,000৳",https://www.startech.com.bd/intel-8th-gen-core-i3-8100-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/intel-8th-gen-core-i3-8100/Intel 8th Generation Core i3 Processor-3-228x228.jpg
Intel 7th Generation Core i3-7100 Processor,"12,200৳",https://www.startech.com.bd/intel-7th-gen-core-i3-7100-processor,https://www.startech.com.bd/image/cache/catalog/Component/processor/7100/i3 7100-228x228.jpg
AMD Ryzen 5 2600 Processor,"17,000৳",https://www.startech.com.bd/amd-ryzen-5-2600-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/r5-2600/r5-228x228.jpg
Intel 9th Gen Core i5 9400F Processor,"16,500৳",https://www.startech.com.bd/intel-core-i5-9400f-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-9400f/intel-9400f-228x228.jpg
Intel 7th Generation Core i5-7400 Processor,"17,300৳",https://www.startech.com.bd/intel-core-i5-7400,https://www.startech.com.bd/image/cache/catalog/processor/Intel/7th Gen/i5-7400 Processor-228x228.jpg
AMD Ryzen 5 2600X Processor,"20,000৳",https://www.startech.com.bd/amd-ryzen-5-2600x-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/r5-2600/r5-228x228.jpg
Intel 8th Generation Core i5-8400 Processor,"17,500৳",https://www.startech.com.bd/intel-8th-gen-core-i5-8400-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/intel-8th-gen-core-i5-8400/Intel 8th Gen Core i5-8400-1-228x228.jpg
Intel Core i5-7640X X-series Kaby Lake Processor,"20,800৳",https://www.startech.com.bd/intel-core-i5-7640x-x-series,https://www.startech.com.bd/image/cache/catalog/processor/Intel/Intel Core i5-7640X X-series/Intel Core i5-7640X X-series-228x228.jpg
AMD Ryzen 7 2700 Desktop Processor,"28,000৳",https://www.startech.com.bd/amd-ryzen-7-2700-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-7-2700/ryzen-7-228x228.jpg
Intel 9th Generation Core i5-9600K Processor,"23,800৳",https://www.startech.com.bd/intel-core-i5-9600k-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/9600k/9600k-3-228x228.jpg
AMD Ryzen 7 2700X Processor,"29,000৳",https://www.startech.com.bd/amd-ryzen-7-2700x-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/2700x/2700x-0-228x228.jpg
Intel® 7th Generation Core™ i7-7700 Processor,"28,500৳",https://www.startech.com.bd/intel-7th-gen-core-i7-7700,https://www.startech.com.bd/image/cache/catalog/processor/Intel/7th Gen/Intel 7th Gen Core i7-7700-228x228.jpg
AMD Ryzen Threadripper 1900X 8-core/16 thread Desktop Processor,"43,500৳",https://www.startech.com.bd/amd-ryzen-threadripper-1900x,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-threadripper-228x228.png
AMD Ryzen Threadripper 1920X 12-core/24-thread Desktop Processor,"45,000৳",https://www.startech.com.bd/amd-ryzen-threadripper-1920x-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-threadripper-228x228.png
